Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean
0.59;0.40;0.55;120.10;1.09;60.61;0.59;0.39;0.56;123.31;1.11;61.44;1.12;1.10;0.08;0.98;0.20;0.10;0.10
0.60;0.39;0.56;119.21;1.08;60.81;0.60;0.39;0.53;123.29;1.09;60.61;1.10;1.09;0.08;0.99;0.21;0.11;0.10
0.60;0.40;0.59;116.90;1.22;60.00;0.63;0.38;0.63;123.29;1.28;59.60;1.24;1.24;0.10;1.00;0.22;0.11;0.11
0.58;0.40;0.59;117.45;1.16;60.81;0.60;0.39;0.59;124.14;1.21;60.21;1.19;1.18;0.09;0.99;0.19;0.10;0.09
0.60;0.39;0.53;116.41;1.08;60.20;0.61;0.38;0.55;125.93;1.09;60.81;1.09;1.08;0.07;0.99;0.21;0.12;0.10
0.59;0.39;0.51;120.00;1.03;60.81;0.61;0.38;0.52;123.29;1.04;60.81;1.05;1.03;0.08;0.99;0.21;0.10;0.11
0.60;0.39;0.54;123.38;1.13;60.40;0.59;0.38;0.56;124.19;1.10;61.86;1.13;1.11;0.08;0.98;0.21;0.10;0.11
0.61;0.38;0.52;123.89;1.09;60.41;0.61;0.39;0.57;117.91;1.09;60.20;1.09;1.09;0.08;0.99;0.22;0.10;0.12
0.61;0.41;0.57;119.79;1.15;58.64;0.60;0.39;0.59;119.34;1.17;60.41;1.15;1.16;0.09;1.01;0.20;0.10;0.10
0.62;0.40;0.53;114.40;1.07;58.83;0.64;0.37;0.54;122.27;1.08;59.61;1.06;1.07;0.07;1.01;0.25;0.13;0.12
0.62;0.39;0.52;120.81;1.08;59.61;0.60;0.38;0.54;120.13;1.06;60.81;1.07;1.07;0.08;1.00;0.23;0.12;0.11
0.61;0.39;0.53;118.95;1.07;60.40;0.62;0.38;0.56;122.45;1.09;60.41;1.09;1.08;0.08;0.99;0.22;0.11;0.11
0.61;0.39;0.52;116.90;1.06;59.60;0.62;0.38;0.56;122.45;1.10;59.81;1.07;1.08;0.08;1.01;0.23;0.12;0.12
0.63;0.41;0.54;115.40;1.11;57.69;0.63;0.39;0.56;120.94;1.10;59.02;1.08;1.10;0.08;1.02;0.22;0.11;0.11
0.59;0.40;0.54;117.40;1.08;60.41;0.61;0.38;0.56;125.02;1.12;60.61;1.11;1.10;0.08;0.99;0.22;0.11;0.11
0.62;0.39;0.48;117.94;1.03;59.41;0.62;0.40;0.55;118.44;1.04;59.02;1.02;1.03;0.07;1.01;0.22;0.11;0.11
0.61;0.39;0.52;118.96;1.05;60.00;0.61;0.39;0.55;120.02;1.08;59.61;1.06;1.07;0.08;1.00;0.22;0.11;0.11
0.62;0.39;0.53;116.50;1.07;59.44;0.61;0.39;0.55;120.81;1.10;59.81;1.07;1.08;0.08;1.01;0.22;0.12;0.10
0.62;0.39;0.51;118.42;1.02;59.81;0.62;0.39;0.51;120.04;1.02;59.61;1.01;1.02;0.09;1.01;0.23;0.12;0.11
