Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean
0.68;0.45;0.57;105.62;1.18;53.45;0.68;0.47;0.61;105.56;1.19;52.33;1.04;1.19;0.10;1.14;0.22;0.12;0.10
0.65;0.43;0.57;112.58;1.19;55.73;0.65;0.44;0.63;108.45;1.20;54.88;1.10;1.20;0.12;1.09;0.22;0.11;0.11
0.68;0.40;0.58;107.59;1.18;55.73;0.69;0.40;0.62;114.65;1.22;55.21;1.11;1.20;0.11;1.08;0.30;0.15;0.14
0.69;0.45;0.56;100.11;1.15;52.48;0.73;0.44;0.59;108.45;1.15;51.43;1.00;1.15;0.11;1.16;0.26;0.14;0.12
0.65;0.43;0.58;108.92;1.20;55.56;0.66;0.43;0.63;111.84;1.22;54.88;1.11;1.21;0.11;1.09;0.23;0.12;0.10
0.68;0.39;0.58;111.11;1.24;56.43;0.68;0.37;0.62;116.98;1.18;57.16;1.14;1.21;0.11;1.06;0.30;0.16;0.13
0.68;0.44;0.55;108.45;1.19;53.94;0.67;0.42;0.62;109.09;1.17;55.22;1.07;1.18;0.11;1.10;0.25;0.13;0.12
0.65;0.44;0.59;111.13;1.25;54.89;0.65;0.44;0.64;108.53;1.22;55.40;1.13;1.23;0.11;1.09;0.22;0.11;0.11
0.71;0.39;0.56;108.48;1.16;54.64;0.70;0.40;0.62;110.17;1.20;54.25;1.07;1.18;0.11;1.10;0.33;0.17;0.16
0.66;0.42;0.60;103.78;1.22;55.22;0.72;0.41;0.63;114.00;1.24;53.26;1.11;1.23;0.11;1.11;0.28;0.15;0.12
0.70;0.40;0.56;107.59;1.21;54.22;0.70;0.39;0.64;110.53;1.19;54.72;1.09;1.20;0.11;1.10;0.30;0.15;0.15
0.67;0.40;0.59;110.23;1.22;55.95;0.67;0.41;0.64;113.43;1.24;55.57;1.14;1.23;0.11;1.08;0.29;0.15;0.14
0.67;0.44;0.59;106.42;1.22;54.06;0.68;0.46;0.64;107.79;1.23;52.94;1.09;1.22;0.10;1.12;0.23;0.12;0.10
0.67;0.44;0.58;103.86;1.18;53.92;0.69;0.43;0.62;111.38;1.21;53.59;1.07;1.19;0.10;1.12;0.24;0.13;0.11
0.66;0.43;0.58;107.58;1.20;55.07;0.66;0.43;0.62;113.32;1.21;55.05;1.11;1.21;0.10;1.09;0.23;0.12;0.11
0.71;0.38;0.56;106.08;1.16;54.88;0.73;0.39;0.61;110.47;1.18;53.42;1.06;1.17;0.11;1.11;0.33;0.17;0.16
0.70;0.44;0.56;104.38;1.17;52.48;0.71;0.46;0.61;104.08;1.18;51.43;1.01;1.17;0.10;1.16;0.26;0.13;0.13
0.64;0.43;0.58;111.57;1.22;56.08;0.63;0.44;0.64;112.57;1.23;56.09;1.15;1.23;0.11;1.07;0.21;0.11;0.10
0.64;0.45;0.58;105.89;1.19;55.07;0.67;0.42;0.61;114.77;1.20;55.22;1.10;1.20;0.10;1.09;0.22;0.12;0.10
0.68;0.42;0.61;106.50;1.24;54.72;0.69;0.44;0.63;109.13;1.23;53.42;1.11;1.23;0.10;1.11;0.25;0.14;0.11
