Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean
0.66;0.46;0.54;103.09;1.07;53.89;0.65;0.45;0.52;114.65;1.05;54.39;0.95;1.06;0.09;1.11;0.20;0.13;0.07
0.59;0.42;0.55;113.05;1.09;59.07;0.61;0.41;0.54;121.82;1.09;58.63;1.07;1.09;0.09;1.02;0.19;0.10;0.09
0.61;0.43;0.57;113.21;1.17;57.69;0.60;0.44;0.57;116.88;1.14;57.51;1.10;1.15;0.10;1.04;0.17;0.10;0.07
0.62;0.45;0.56;107.88;1.13;56.08;0.63;0.39;0.57;117.20;1.11;58.44;1.07;1.12;0.10;1.06;0.21;0.11;0.10
0.59;0.44;0.53;108.10;1.06;57.89;0.64;0.40;0.54;122.76;1.07;57.45;1.03;1.07;0.13;1.04;0.20;0.12;0.08
0.59;0.42;0.56;118.44;1.12;59.61;0.59;0.41;0.56;120.02;1.13;59.60;1.12;1.12;0.10;1.01;0.18;0.09;0.09
0.66;0.46;0.52;108.47;1.07;54.02;0.67;0.45;0.53;109.13;1.07;53.44;0.96;1.07;0.09;1.12;0.21;0.11;0.10
0.59;0.45;0.56;110.21;1.12;57.94;0.60;0.44;0.55;122.19;1.13;57.69;1.08;1.12;0.10;1.04;0.14;0.10;0.04
0.64;0.45;0.52;108.13;1.08;54.89;0.66;0.45;0.55;109.09;1.08;54.23;0.98;1.08;0.09;1.10;0.20;0.11;0.09
0.63;0.45;0.52;110.71;1.06;55.81;0.63;0.45;0.54;112.89;1.05;55.91;0.98;1.05;0.09;1.07;0.18;0.10;0.09
0.62;0.41;0.53;113.14;1.07;57.88;0.62;0.44;0.54;114.42;1.07;56.86;1.02;1.07;0.10;1.05;0.18;0.09;0.09
0.64;0.43;0.53;108.46;1.08;56.12;0.64;0.42;0.54;118.04;1.07;56.50;1.01;1.07;0.10;1.07;0.21;0.12;0.09
0.64;0.45;0.52;103.87;1.07;55.05;0.65;0.44;0.54;116.38;1.07;54.88;0.98;1.07;0.10;1.09;0.20;0.13;0.08
0.62;0.45;0.54;106.51;1.08;55.90;0.64;0.41;0.54;120.13;1.07;56.96;1.01;1.07;0.10;1.06;0.20;0.12;0.07
0.63;0.46;0.51;107.58;1.06;55.39;0.65;0.43;0.54;114.65;1.06;55.73;0.98;1.06;0.09;1.08;0.19;0.10;0.09
0.59;0.41;0.57;115.88;1.13;59.61;0.59;0.42;0.56;122.45;1.14;59.41;1.13;1.14;0.10;1.01;0.18;0.10;0.08
0.63;0.45;0.51;109.76;1.05;55.56;0.63;0.45;0.53;112.05;1.04;55.21;0.97;1.05;0.09;1.08;0.18;0.11;0.07
0.59;0.43;0.56;116.41;1.12;58.83;0.59;0.44;0.56;116.16;1.11;58.13;1.08;1.12;0.10;1.03;0.15;0.08;0.07
0.63;0.42;0.53;113.97;1.08;56.97;0.61;0.44;0.54;115.56;1.07;57.38;1.02;1.07;0.09;1.05;0.20;0.10;0.09
0.65;0.45;0.51;107.57;1.07;54.60;0.63;0.44;0.56;111.12;1.05;55.92;0.98;1.06;0.09;1.09;0.19;0.11;0.08
