Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean
;;0.50;126.76;;;0.63;0.34;0.55;121.62;1.05;62.07;1.09;1.05;0.11;0.97;0.29;0.13;0.15
0.61;0.40;0.57;114.42;1.11;59.61;0.64;0.37;0.54;123.31;1.13;59.21;1.11;1.12;0.12;1.01;0.23;0.12;0.12
0.58;0.42;0.54;113.94;1.10;60.00;0.62;0.39;0.55;126.76;1.14;59.60;1.11;1.11;0.09;1.00;0.20;0.11;0.10
0.58;0.35;0.50;123.31;0.98;64.75;0.61;0.35;0.54;128.81;1.04;62.95;1.08;1.02;0.10;0.94;0.24;0.12;0.12
0.60;0.38;0.51;123.29;1.07;61.22;0.63;0.37;0.53;120.02;1.01;60.40;1.05;1.04;0.09;0.99;0.24;0.11;0.13
0.55;0.38;0.50;125.88;1.02;64.52;0.57;0.36;0.48;131.73;0.97;64.52;1.07;0.99;0.10;0.93;0.20;0.11;0.09
0.55;0.37;0.56;131.39;1.13;65.22;0.56;0.37;0.59;126.03;1.16;64.32;1.24;1.15;0.09;0.93;0.19;0.08;0.10
0.60;0.37;0.48;125.10;1.02;61.69;0.62;0.36;0.51;122.24;0.99;61.43;1.03;1.01;0.08;0.98;0.24;0.11;0.13
0.55;0.41;0.55;115.40;1.06;62.32;0.62;0.35;0.51;135.13;1.06;61.64;1.09;1.06;0.07;0.97;0.21;0.12;0.10
0.57;0.39;0.53;122.45;1.09;62.07;0.59;0.37;0.56;125.88;1.10;62.07;1.13;1.10;0.08;0.97;0.20;0.10;0.10
0.61;0.35;0.51;124.14;1.02;62.07;0.61;0.37;0.52;120.85;1.03;61.23;1.05;1.03;0.08;0.98;0.24;0.11;0.13
0.59;0.37;0.54;129.50;1.10;62.50;0.58;0.38;0.57;120.02;1.10;62.29;1.14;1.10;0.06;0.96;0.22;0.10;0.12
0.57;0.41;0.54;116.88;1.09;61.44;0.60;0.37;0.55;129.56;1.08;62.07;1.12;1.09;0.08;0.97;0.19;0.10;0.09
0.57;0.41;0.54;109.13;1.00;61.25;0.62;0.35;0.46;139.95;0.99;61.65;1.02;0.99;0.06;0.98;0.21;0.13;0.08
0.53;0.37;0.52;129.50;1.08;66.67;0.55;0.35;0.56;137.41;1.07;66.67;1.20;1.08;0.09;0.90;0.18;0.09;0.09
0.55;0.37;0.53;123.14;1.02;64.87;0.59;0.32;0.46;141.61;0.98;65.96;1.09;1.00;0.09;0.92;0.22;0.12;0.10
0.60;0.41;0.47;108.50;0.96;59.63;0.69;0.32;0.49;132.38;0.97;59.21;0.96;0.96;0.07;1.01;0.29;0.14;0.14
0.65;0.42;0.52;102.27;1.00;55.90;0.70;0.37;0.48;124.14;1.00;56.08;0.93;1.00;0.06;1.07;0.27;0.16;0.11
0.63;0.42;0.51;104.68;0.97;57.33;0.69;0.37;0.48;125.10;1.00;56.78;0.94;0.99;0.09;1.05;0.25;0.14;0.10
0.64;0.46;0.53;98.95;1.04;54.55;0.70;0.38;0.52;121.64;1.04;55.56;0.95;1.04;0.08;1.09;0.25;0.15;0.10
