Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean
0.68;0.44;0.62;101.13;1.25;53.57;0.70;0.43;0.63;113.21;1.25;53.25;1.11;1.25;0.09;1.12;0.25;0.14;0.10
0.67;0.46;0.64;102.48;1.29;53.41;0.68;0.42;0.64;113.64;1.27;54.58;1.15;1.28;0.09;1.11;0.23;0.14;0.09
0.67;0.45;0.63;99.64;1.27;53.59;0.70;0.42;0.64;115.46;1.28;53.57;1.14;1.28;0.08;1.12;0.25;0.15;0.10
0.67;0.46;0.63;100.71;1.27;52.95;0.69;0.41;0.63;115.66;1.24;54.38;1.12;1.26;0.10;1.12;0.24;0.14;0.10
0.66;0.45;0.64;103.46;1.30;53.89;0.69;0.42;0.65;113.92;1.28;54.22;1.16;1.29;0.10;1.11;0.25;0.14;0.11
0.69;0.45;0.62;100.06;1.26;52.50;0.71;0.43;0.65;109.13;1.28;52.33;1.11;1.27;0.09;1.15;0.26;0.14;0.12
0.65;0.45;0.64;101.12;1.28;54.22;0.70;0.42;0.64;114.00;1.28;53.58;1.15;1.28;0.09;1.12;0.24;0.14;0.11
0.66;0.47;0.65;101.14;1.31;53.10;0.70;0.42;0.65;113.50;1.30;53.73;1.16;1.31;0.10;1.12;0.23;0.13;0.10
0.67;0.45;0.63;102.33;1.28;53.89;0.70;0.43;0.65;110.43;1.29;53.10;1.14;1.28;0.10;1.12;0.26;0.14;0.12
0.67;0.45;0.64;97.84;1.27;53.57;0.72;0.41;0.63;116.13;1.27;53.10;1.13;1.27;0.09;1.13;0.26;0.16;0.11
0.65;0.45;0.64;102.86;1.29;54.22;0.69;0.43;0.66;111.84;1.30;53.57;1.16;1.30;0.09;1.12;0.23;0.13;0.10
0.66;0.45;0.65;102.29;1.31;54.22;0.70;0.42;0.66;114.00;1.31;53.91;1.18;1.31;0.09;1.11;0.25;0.14;0.11
0.68;0.47;0.63;98.36;1.27;52.48;0.71;0.43;0.64;112.52;1.26;52.33;1.11;1.27;0.08;1.14;0.25;0.14;0.11
0.67;0.45;0.66;101.91;1.31;53.42;0.69;0.44;0.66;111.13;1.34;53.10;1.18;1.33;0.09;1.13;0.23;0.14;0.10
0.65;0.43;0.65;104.67;1.31;55.21;0.69;0.42;0.67;111.91;1.32;54.06;1.20;1.32;0.10;1.10;0.25;0.13;0.12
0.68;0.43;0.67;101.14;1.31;53.89;0.71;0.42;0.65;111.84;1.32;53.10;1.17;1.32;0.10;1.12;0.26;0.15;0.11
