Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean
1.05;0.52;0.40;77.68;0.83;38.25;1.02;0.54;0.42;75.44;0.81;38.47;0.52;0.82;0.09;1.57;0.52;0.25;0.27
0.95;0.52;0.40;79.78;0.77;40.93;1.00;0.49;0.39;82.08;0.79;40.43;0.53;0.78;0.08;1.48;0.50;0.26;0.24
1.02;0.45;0.36;87.10;0.74;40.82;0.99;0.47;0.38;77.85;0.73;41.10;0.50;0.73;0.09;1.46;0.54;0.24;0.30
0.99;0.55;0.40;79.10;0.82;38.79;1.02;0.49;0.42;79.65;0.82;39.67;0.54;0.82;0.06;1.52;0.51;0.25;0.26
0.96;0.49;0.35;86.36;0.76;41.38;0.98;0.50;0.40;78.34;0.75;40.55;0.52;0.75;0.07;1.47;0.51;0.24;0.27
0.98;0.49;0.37;84.91;0.78;40.79;0.99;0.49;0.41;78.11;0.78;40.61;0.53;0.78;0.08;1.47;0.50;0.22;0.28
0.99;0.48;0.35;78.86;0.69;40.72;1.04;0.47;0.36;80.91;0.72;39.93;0.47;0.71;0.07;1.49;0.53;0.26;0.27
1.00;0.51;0.40;81.19;0.82;39.85;0.98;0.51;0.43;78.27;0.83;40.27;0.55;0.83;0.08;1.50;0.53;0.24;0.29
1.02;0.47;0.36;83.41;0.77;40.37;0.98;0.48;0.39;81.28;0.75;41.11;0.52;0.76;0.08;1.47;0.51;0.26;0.26
1.01;0.50;0.37;75.72;0.70;39.77;1.05;0.47;0.33;82.81;0.69;39.55;0.46;0.70;0.08;1.51;0.54;0.28;0.26
1.03;0.55;0.36;74.47;0.71;38.04;1.05;0.52;0.35;78.45;0.71;38.14;0.45;0.71;0.07;1.58;0.49;0.26;0.23
1.01;0.50;0.37;82.64;0.78;39.80;0.99;0.47;0.38;80.92;0.74;41.36;0.51;0.76;0.07;1.48;0.48;0.23;0.25
0.98;0.55;0.34;79.75;0.72;39.39;1.06;0.50;0.38;76.36;0.74;38.55;0.47;0.73;0.07;1.54;0.51;0.23;0.28
1.01;0.48;0.32;82.06;0.68;40.50;1.03;0.46;0.36;78.77;0.67;40.09;0.45;0.67;0.09;1.49;0.54;0.26;0.28
1.07;0.52;0.38;72.22;0.74;37.77;1.08;0.49;0.36;79.26;0.73;38.32;0.47;0.74;0.07;1.58;0.57;0.31;0.26
1.07;0.50;0.35;80.41;0.71;38.25;1.05;0.55;0.37;70.75;0.71;37.66;0.45;0.71;0.07;1.58;0.54;0.25;0.29
