Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean
0.69;0.45;0.49;99.30;0.98;52.49;0.73;0.40;0.50;112.52;0.99;53.10;0.87;0.98;0.06;1.14;0.30;0.16;0.14
0.67;0.42;0.50;108.90;1.03;54.88;0.70;0.39;0.52;113.00;1.03;55.44;0.95;1.03;0.07;1.09;0.28;0.14;0.14
0.68;0.42;0.48;103.07;0.96;54.55;0.71;0.38;0.48;115.96;0.96;54.89;0.87;0.96;0.07;1.10;0.30;0.16;0.14
0.69;0.43;0.49;103.90;0.97;53.57;0.72;0.40;0.48;111.60;0.97;53.79;0.87;0.97;0.06;1.12;0.29;0.15;0.14
0.69;0.44;0.46;101.18;0.93;52.75;0.75;0.40;0.46;110.25;0.94;52.03;0.81;0.93;0.07;1.14;0.30;0.15;0.15
0.67;0.46;0.53;101.92;1.05;53.10;0.72;0.41;0.51;112.51;1.05;53.48;0.93;1.05;0.06;1.13;0.27;0.14;0.13
0.69;0.45;0.48;100.78;0.94;52.63;0.72;0.41;0.48;111.81;0.95;53.10;0.84;0.95;0.06;1.14;0.28;0.15;0.13
0.69;0.45;0.53;100.71;1.05;52.94;0.73;0.39;0.51;113.07;1.03;53.75;0.92;1.04;0.07;1.13;0.29;0.15;0.14
0.69;0.44;0.47;101.91;0.95;52.79;0.72;0.42;0.47;109.85;0.94;52.86;0.83;0.94;0.06;1.14;0.28;0.15;0.13
0.66;0.46;0.53;100.41;1.04;53.42;0.72;0.40;0.51;115.38;1.06;53.58;0.94;1.05;0.07;1.12;0.27;0.15;0.13
0.70;0.43;0.50;100.39;0.98;52.94;0.74;0.40;0.48;112.11;0.99;52.64;0.87;0.98;0.06;1.14;0.30;0.16;0.14
0.72;0.41;0.48;102.89;0.97;53.26;0.73;0.40;0.48;110.21;0.97;53.10;0.86;0.97;0.08;1.13;0.32;0.17;0.15
0.70;0.43;0.49;103.07;0.98;53.12;0.72;0.41;0.48;109.42;0.97;53.05;0.86;0.98;0.07;1.13;0.28;0.14;0.14
0.71;0.42;0.49;104.65;0.99;53.10;0.73;0.38;0.51;109.85;1.00;54.06;0.89;0.99;0.08;1.12;0.30;0.15;0.15
0.70;0.43;0.52;103.45;1.03;53.10;0.73;0.40;0.51;109.77;1.03;53.41;0.91;1.03;0.07;1.13;0.30;0.15;0.15
0.70;0.43;0.50;104.29;1.00;53.41;0.72;0.39;0.50;111.11;1.01;54.06;0.90;1.01;0.08;1.12;0.30;0.15;0.15
0.70;0.43;0.51;102.27;1.00;53.25;0.74;0.39;0.49;111.11;0.99;53.25;0.88;0.99;0.07;1.13;0.30;0.16;0.15
0.69;0.45;0.53;100.39;1.05;52.63;0.72;0.41;0.52;111.81;1.06;52.95;0.93;1.05;0.06;1.14;0.28;0.15;0.13
0.66;0.43;0.56;106.78;1.11;55.05;0.68;0.40;0.56;115.46;1.14;55.43;1.04;1.13;0.06;1.09;0.26;0.13;0.13
0.68;0.43;0.56;104.67;1.11;53.89;0.70;0.41;0.53;113.21;1.09;54.38;0.99;1.10;0.05;1.11;0.27;0.14;0.12
