Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean
0.62;0.39;0.50;116.98;1.00;59.64;0.62;0.37;0.50;124.62;1.00;60.62;1.00;1.00;0.09;1.00;0.24;0.13;0.11
0.59;0.39;0.50;117.09;1.00;60.81;0.63;0.37;0.51;123.31;1.02;60.07;1.02;1.01;0.08;0.99;0.22;0.11;0.11
0.60;0.39;0.48;122.36;0.99;60.64;0.61;0.38;0.51;122.25;0.99;61.09;1.01;0.99;0.08;0.99;0.22;0.11;0.12
0.57;0.38;0.50;120.01;1.00;62.94;0.60;0.36;0.51;131.45;1.03;62.50;1.06;1.01;0.09;0.96;0.21;0.11;0.10
0.60;0.38;0.50;126.44;1.03;61.47;0.59;0.39;0.53;119.03;1.03;61.25;1.05;1.03;0.08;0.98;0.20;0.09;0.11
0.61;0.37;0.49;124.00;1.01;61.22;0.61;0.36;0.51;123.92;1.00;61.94;1.03;1.00;0.10;0.97;0.24;0.12;0.12
0.60;0.39;0.49;117.42;1.01;60.40;0.63;0.36;0.51;124.19;1.01;60.62;1.02;1.01;0.09;0.99;0.23;0.12;0.11
0.61;0.38;0.48;123.00;1.01;60.27;0.60;0.38;0.53;120.10;1.01;60.96;1.02;1.01;0.08;0.99;0.22;0.11;0.12
0.61;0.39;0.49;115.88;1.01;60.00;0.62;0.38;0.52;124.14;1.03;59.80;1.01;1.02;0.08;1.00;0.23;0.12;0.11
0.56;0.40;0.50;120.85;1.04;62.29;0.58;0.37;0.53;128.57;1.02;62.94;1.07;1.03;0.10;0.96;0.18;0.09;0.08
0.61;0.37;0.48;118.44;0.99;61.22;0.63;0.36;0.49;124.14;0.97;60.61;0.99;0.98;0.11;0.99;0.24;0.12;0.12
0.60;0.40;0.47;114.92;0.95;59.82;0.63;0.38;0.49;123.38;0.97;59.41;0.95;0.96;0.10;1.01;0.22;0.11;0.11
0.62;0.39;0.48;119.25;1.01;59.60;0.63;0.37;0.53;120.60;0.99;60.41;1.00;1.00;0.10;1.00;0.24;0.11;0.12
0.61;0.39;0.49;121.00;1.00;59.60;0.61;0.38;0.52;120.01;1.01;60.68;1.01;1.01;0.11;1.00;0.22;0.11;0.12
0.60;0.39;0.48;117.92;0.98;60.40;0.63;0.36;0.51;123.31;1.00;60.41;1.00;0.99;0.11;0.99;0.24;0.11;0.12
0.61;0.40;0.48;116.90;1.01;59.09;0.63;0.39;0.52;119.50;1.00;59.22;0.99;1.00;0.10;1.01;0.23;0.11;0.12
0.59;0.41;0.48;111.95;0.95;59.90;0.64;0.38;0.48;127.36;0.97;58.96;0.95;0.96;0.08;1.01;0.21;0.12;0.09
0.62;0.40;0.48;115.01;0.97;59.36;0.63;0.37;0.50;123.07;0.95;60.41;0.96;0.97;0.09;1.00;0.24;0.13;0.12
