Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean
0.66;0.40;0.54;115.86;1.05;56.29;0.62;0.41;0.51;113.21;1.04;58.44;1.00;1.04;0.12;1.05;0.24;0.12;0.12
0.66;0.43;0.55;104.77;1.01;55.21;0.69;0.39;0.46;119.34;1.02;55.63;0.94;1.01;0.10;1.08;0.26;0.14;0.11
0.66;0.40;0.52;112.14;0.98;56.96;0.67;0.41;0.48;113.94;1.02;55.90;0.94;1.00;0.10;1.06;0.26;0.12;0.14
0.65;0.44;0.54;106.51;1.04;55.39;0.67;0.41;0.49;115.40;1.05;55.21;0.96;1.04;0.11;1.08;0.24;0.13;0.12
0.67;0.43;0.53;104.67;1.00;54.55;0.67;0.40;0.47;114.09;1.00;55.90;0.92;1.00;0.09;1.09;0.25;0.14;0.11
0.64;0.43;0.54;104.78;1.02;55.90;0.70;0.40;0.47;117.63;1.02;54.55;0.94;1.02;0.11;1.09;0.26;0.14;0.12
0.66;0.42;0.54;105.88;1.00;55.40;0.67;0.43;0.46;116.25;1.01;54.55;0.92;1.00;0.09;1.09;0.27;0.15;0.12
0.69;0.43;0.53;102.39;0.98;53.45;0.71;0.40;0.45;111.84;0.99;53.89;0.88;0.99;0.09;1.12;0.28;0.15;0.13
0.68;0.46;0.55;98.95;1.03;52.64;0.71;0.41;0.47;113.65;1.01;53.59;0.90;1.02;0.09;1.13;0.25;0.14;0.10
0.68;0.46;0.55;98.36;0.99;52.63;0.72;0.44;0.46;109.19;1.01;51.73;0.87;1.01;0.08;1.15;0.26;0.15;0.11
0.69;0.45;0.54;102.86;1.00;52.63;0.71;0.43;0.47;108.43;1.01;52.94;0.88;1.00;0.07;1.14;0.26;0.13;0.13
0.69;0.44;0.52;101.78;0.98;53.18;0.72;0.42;0.46;111.38;0.98;52.63;0.86;0.98;0.10;1.13;0.26;0.15;0.12
0.70;0.45;0.53;102.29;1.00;52.33;0.69;0.44;0.47;107.16;0.99;52.94;0.87;1.00;0.08;1.14;0.28;0.14;0.14
0.67;0.45;0.54;104.13;1.02;53.89;0.70;0.41;0.48;113.25;1.02;54.25;0.92;1.02;0.09;1.11;0.26;0.13;0.12
0.70;0.44;0.53;100.56;1.00;52.63;0.72;0.42;0.46;110.43;0.98;52.63;0.87;0.99;0.08;1.14;0.28;0.16;0.12
;;0.52;102.39;;;0.70;0.40;0.46;111.81;0.97;54.55;0.89;0.97;0.09;1.10;0.13;;0.13
0.67;0.47;0.51;98.39;0.97;52.48;0.73;0.39;0.46;112.52;0.97;53.25;0.85;0.97;0.09;1.14;0.28;0.14;0.14
0.69;0.44;0.52;100.05;0.96;53.10;0.73;0.37;0.45;113.43;0.94;54.88;0.85;0.95;0.09;1.12;0.30;0.16;0.14
0.68;0.43;0.52;103.46;0.98;53.96;0.70;0.39;0.46;112.94;0.97;55.21;0.88;0.98;0.08;1.10;0.27;0.15;0.12
