Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean
0.69;0.39;0.47;109.92;0.91;55.36;0.70;0.40;0.45;110.22;0.94;54.44;0.85;0.92;0.10;1.09;0.30;0.15;0.15
0.65;0.42;0.49;109.58;0.94;55.68;0.67;0.40;0.45;114.96;0.96;56.15;0.88;0.95;0.10;1.07;0.25;0.13;0.12
0.67;0.40;0.50;109.20;0.95;55.81;0.69;0.39;0.45;115.54;0.96;55.79;0.89;0.96;0.10;1.08;0.28;0.15;0.13
0.67;0.39;0.49;108.76;0.94;56.49;0.69;0.37;0.45;117.42;0.94;56.49;0.89;0.94;0.12;1.06;0.30;0.16;0.14
0.68;0.41;0.49;106.76;0.95;55.22;0.70;0.37;0.46;114.52;0.94;56.08;0.88;0.95;0.11;1.08;0.30;0.16;0.14
0.65;0.42;0.47;110.21;0.93;55.67;0.67;0.41;0.46;112.51;0.93;55.39;0.86;0.93;0.10;1.08;0.24;0.12;0.12
0.67;0.40;0.48;110.99;0.93;56.03;0.68;0.40;0.47;111.57;0.96;55.48;0.88;0.95;0.10;1.08;0.27;0.14;0.14
0.68;0.40;0.48;109.26;0.93;55.34;0.68;0.38;0.45;113.57;0.94;56.26;0.87;0.94;0.10;1.08;0.30;0.15;0.15
0.69;0.39;0.49;110.77;0.96;55.21;0.69;0.38;0.46;113.57;0.95;56.02;0.89;0.96;0.13;1.08;0.30;0.15;0.14
0.67;0.41;0.48;107.59;0.93;55.81;0.70;0.38;0.45;116.09;0.93;55.92;0.86;0.93;0.12;1.07;0.29;0.15;0.14
0.66;0.38;0.50;113.14;0.98;57.47;0.67;0.38;0.47;116.94;0.99;56.96;0.94;0.98;0.11;1.05;0.29;0.15;0.14
0.66;0.40;0.50;111.38;0.99;56.27;0.68;0.38;0.47;114.42;0.96;56.64;0.91;0.97;0.10;1.06;0.28;0.15;0.13
0.64;0.40;0.50;111.60;0.99;57.70;0.67;0.37;0.49;118.44;1.00;57.51;0.95;0.99;0.11;1.04;0.26;0.13;0.13
0.66;0.42;0.51;107.42;0.99;55.59;0.68;0.39;0.48;118.42;1.00;56.29;0.93;1.00;0.11;1.07;0.27;0.15;0.12
0.67;0.40;0.49;106.72;0.95;56.12;0.70;0.36;0.46;119.29;0.95;56.30;0.89;0.95;0.12;1.07;0.30;0.15;0.14
0.68;0.39;0.50;112.69;1.01;56.29;0.68;0.40;0.52;109.82;1.02;55.56;0.95;1.02;0.12;1.07;0.28;0.14;0.14
0.64;0.42;0.52;107.21;1.01;56.43;0.68;0.38;0.48;120.06;1.00;56.64;0.95;1.01;0.11;1.06;0.26;0.14;0.12
