Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean
0.60;0.40;0.62;118.50;1.25;59.61;0.62;0.36;0.61;123.49;1.21;61.02;1.24;1.23;0.13;1.00;0.23;0.10;0.12
0.61;0.41;0.63;116.13;1.22;58.82;0.63;0.39;0.59;119.21;1.22;58.83;1.20;1.22;0.10;1.02;0.21;0.10;0.11
0.61;0.41;0.59;115.46;1.21;58.64;0.62;0.40;0.61;119.47;1.21;58.83;1.18;1.21;0.13;1.02;0.21;0.11;0.10
0.65;0.42;0.64;106.81;1.15;55.90;0.69;0.43;0.53;108.50;1.18;53.74;1.06;1.17;0.14;1.10;0.25;0.12;0.12
0.68;0.37;0.65;120.00;1.28;56.96;0.65;0.40;0.61;108.43;1.23;56.96;1.19;1.25;0.14;1.05;0.27;0.12;0.15
0.64;0.41;0.57;116.41;1.16;56.96;0.62;0.42;0.59;112.57;1.19;57.51;1.12;1.17;0.11;1.05;0.23;0.11;0.12
0.60;0.43;0.60;115.90;1.19;58.27;0.62;0.42;0.59;116.97;1.19;58.20;1.15;1.19;0.13;1.03;0.18;0.08;0.10
0.63;0.40;0.61;116.90;1.19;58.44;0.62;0.40;0.57;117.69;1.18;58.65;1.16;1.18;0.14;1.02;0.23;0.12;0.11
0.64;0.42;0.63;113.25;1.20;56.61;0.63;0.42;0.56;113.21;1.22;56.96;1.14;1.20;0.14;1.06;0.22;0.11;0.11
0.62;0.42;0.63;114.07;1.20;57.36;0.61;0.41;0.58;116.90;1.20;58.44;1.16;1.20;0.14;1.04;0.21;0.11;0.11
0.63;0.43;0.64;117.65;1.20;56.97;0.61;0.46;0.56;110.53;1.25;55.90;1.15;1.21;0.13;1.06;0.19;0.08;0.10
0.62;0.42;0.61;114.69;1.19;57.36;0.61;0.44;0.57;114.77;1.20;56.96;1.13;1.19;0.12;1.05;0.20;0.10;0.10
0.63;0.43;0.60;113.50;1.19;56.43;0.63;0.42;0.58;113.94;1.20;57.16;1.13;1.19;0.12;1.06;0.21;0.10;0.11
0.63;0.41;0.61;117.65;1.19;57.69;0.62;0.41;0.57;114.65;1.19;58.06;1.15;1.19;0.13;1.04;0.22;0.11;0.11
0.63;0.40;0.60;121.10;1.19;58.64;0.60;0.42;0.58;114.69;1.20;59.03;1.17;1.19;0.13;1.02;0.22;0.10;0.12
0.66;0.38;0.60;117.77;1.20;57.69;0.67;0.41;0.60;113.32;1.22;55.90;1.15;1.21;0.13;1.05;0.28;0.13;0.15
0.64;0.39;0.58;117.77;1.14;58.26;0.61;0.40;0.56;115.40;1.16;59.60;1.12;1.15;0.14;1.02;0.23;0.12;0.11
0.61;0.42;0.64;114.65;1.21;58.06;0.62;0.43;0.59;114.69;1.24;57.33;1.18;1.23;0.12;1.04;0.19;0.09;0.10
0.62;0.42;0.62;116.40;1.21;58.09;0.61;0.43;0.60;115.46;1.25;58.07;1.19;1.23;0.12;1.03;0.19;0.09;0.10
0.62;0.41;0.63;116.44;1.21;58.09;0.62;0.41;0.59;115.40;1.24;58.25;1.19;1.22;0.13;1.03;0.22;0.10;0.11
