Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean
1.84;0.44;0.15;56.61;0.38;26.40;1.80;0.50;0.24;49.25;0.38;26.12;0.17;0.38;0.09;2.29;1.38;0.62;0.75
1.42;0.43;0.17;67.67;0.46;32.50;1.33;0.48;0.27;65.11;0.45;33.13;0.25;0.45;0.12;1.83;0.94;0.49;0.44
1.27;0.30;0.11;89.66;0.30;38.82;1.17;0.40;0.20;69.41;0.30;38.77;0.19;0.30;0.11;1.57;0.88;0.37;0.51
2.24;0.33;0.07;73.74;0.26;24.40;2.01;0.38;0.19;44.86;0.25;28.58;0.10;0.26;0.12;2.48;1.79;0.64;1.15
1.42;0.29;0.07;89.15;0.25;35.75;1.32;0.39;0.17;60.70;0.25;35.83;0.14;0.25;0.12;1.71;1.02;0.39;0.64
0.99;0.32;0.09;95.74;0.23;45.86;0.95;0.35;0.14;89.24;0.23;46.10;0.18;0.23;0.11;1.31;0.64;0.31;0.33
0.86;0.26;0.07;121.41;0.17;54.17;0.79;0.32;0.10;98.84;0.18;54.05;0.16;0.18;0.12;1.11;0.53;0.24;0.29
2.39;0.34;0.15;52.71;0.34;25.04;2.22;0.36;0.18;55.19;0.33;25.21;0.13;0.34;0.11;2.65;1.93;1.07;0.87
1.57;0.34;0.13;73.02;0.29;32.31;1.58;0.36;0.16;60.16;0.28;31.66;0.15;0.29;0.11;1.92;1.23;0.53;0.70
1.04;0.27;0.06;97.04;0.18;45.95;0.96;0.34;0.12;88.52;0.18;46.18;0.14;0.18;0.12;1.31;0.69;0.35;0.34
1.02;0.28;0.07;96.57;0.24;46.32;0.98;0.32;0.17;89.71;0.24;46.24;0.18;0.24;0.11;1.30;0.68;0.34;0.34
0.89;0.20;0.08;112.55;0.18;54.89;0.82;0.27;0.09;107.21;0.18;55.38;0.16;0.18;0.12;1.09;0.61;0.33;0.29
0.92;0.27;0.08;97.74;0.18;50.67;0.93;0.25;0.11;104.96;0.18;50.86;0.15;0.18;0.12;1.18;0.66;0.35;0.31
