Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean
0.71;0.42;0.57;101.94;1.06;52.96;0.72;0.40;0.50;112.06;1.06;53.36;0.94;1.06;0.11;1.13;0.29;0.16;0.13
0.64;0.44;0.54;111.26;1.05;55.56;0.65;0.44;0.52;108.74;1.04;55.35;0.97;1.05;0.09;1.08;0.20;0.10;0.10
0.68;0.46;0.54;101.69;1.00;52.75;0.70;0.45;0.47;108.88;1.02;52.29;0.88;1.01;0.08;1.14;0.23;0.13;0.10
0.65;0.45;0.54;105.19;1.03;54.34;0.65;0.42;0.49;112.79;1.02;55.92;0.94;1.02;0.09;1.09;0.22;0.12;0.10
0.66;0.45;0.54;105.92;1.04;53.79;0.67;0.44;0.50;109.38;1.03;54.23;0.93;1.04;0.08;1.11;0.22;0.11;0.10
0.65;0.48;0.55;99.01;1.02;53.10;0.70;0.44;0.47;112.64;1.03;52.69;0.90;1.03;0.09;1.14;0.22;0.13;0.09
0.71;0.44;0.54;98.36;1.02;52.33;0.75;0.41;0.48;110.70;1.02;51.72;0.89;1.02;0.09;1.15;0.31;0.16;0.15
0.68;0.47;0.53;101.90;1.01;52.53;0.70;0.44;0.49;108.44;1.02;52.33;0.89;1.01;0.06;1.14;0.24;0.12;0.12
0.68;0.48;0.56;99.28;1.05;51.87;0.71;0.44;0.48;109.83;1.04;52.14;0.91;1.05;0.09;1.15;0.24;0.13;0.11
0.67;0.48;0.54;102.73;1.02;52.49;0.69;0.44;0.47;109.33;1.02;52.96;0.89;1.02;0.08;1.14;0.22;0.12;0.10
0.68;0.48;0.55;103.13;1.04;51.59;0.69;0.45;0.49;106.82;1.04;52.43;0.90;1.04;0.08;1.15;0.22;0.11;0.11
0.67;0.47;0.55;100.01;1.03;52.94;0.72;0.43;0.49;109.42;1.04;52.24;0.91;1.04;0.08;1.14;0.25;0.13;0.12
0.67;0.47;0.54;102.46;1.03;52.33;0.69;0.43;0.48;112.08;1.02;53.48;0.91;1.03;0.09;1.13;0.23;0.13;0.10
0.66;0.46;0.54;102.90;1.00;53.79;0.69;0.43;0.47;112.50;1.02;53.47;0.90;1.01;0.07;1.12;0.22;0.12;0.10
0.67;0.46;0.56;101.91;1.04;52.96;0.70;0.42;0.48;111.62;1.04;53.26;0.92;1.04;0.08;1.13;0.25;0.14;0.12
0.70;0.47;0.54;99.35;1.03;51.24;0.71;0.44;0.49;105.95;1.02;51.91;0.88;1.03;0.07;1.17;0.26;0.13;0.13
0.69;0.46;0.53;102.66;1.01;52.23;0.70;0.45;0.48;106.31;1.01;52.02;0.88;1.01;0.08;1.15;0.25;0.12;0.12
0.69;0.47;0.52;99.30;1.00;51.73;0.73;0.42;0.47;108.01;1.01;52.17;0.87;1.00;0.09;1.16;0.27;0.14;0.13
0.71;0.46;0.52;104.01;1.01;51.56;0.72;0.44;0.49;102.32;1.01;51.74;0.87;1.01;0.08;1.16;0.25;0.12;0.13
0.67;0.48;0.53;97.88;1.01;52.04;0.73;0.44;0.48;109.20;1.01;51.47;0.87;1.01;0.09;1.16;0.25;0.13;0.11
