Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean
0.72;0.44;0.51;111.26;1.11;51.74;0.67;0.47;0.60;96.77;1.11;52.63;0.96;1.11;0.09;1.15;0.25;0.10;0.15
0.69;0.43;0.49;110.10;1.06;53.64;0.68;0.43;0.57;104.05;1.05;54.23;0.95;1.06;0.12;1.11;0.24;0.10;0.14
0.72;0.44;0.49;110.47;1.07;51.88;0.70;0.45;0.58;98.56;1.06;52.02;0.92;1.06;0.10;1.16;0.26;0.10;0.16
0.74;0.43;0.49;109.80;1.06;51.29;0.70;0.47;0.58;96.12;1.06;51.24;0.91;1.06;0.10;1.17;0.27;0.11;0.16
0.75;0.45;0.47;106.60;1.03;49.89;0.73;0.47;0.55;94.11;1.03;49.73;0.86;1.03;0.10;1.21;0.28;0.11;0.17
0.76;0.42;0.47;109.76;1.04;51.00;0.70;0.47;0.55;95.42;1.01;51.28;0.88;1.03;0.10;1.17;0.29;0.13;0.16
0.76;0.45;0.48;104.88;1.03;49.61;0.74;0.47;0.55;94.08;1.01;49.62;0.84;1.02;0.10;1.21;0.28;0.12;0.17
0.79;0.45;0.44;105.88;1.00;48.52;0.75;0.48;0.55;90.01;0.98;48.78;0.80;0.99;0.10;1.23;0.32;0.13;0.19
0.78;0.45;0.48;101.12;1.04;48.52;0.76;0.47;0.55;93.12;1.02;48.65;0.84;1.03;0.09;1.24;0.31;0.14;0.17
0.76;0.47;0.47;97.83;0.99;48.78;0.78;0.46;0.51;95.49;0.96;48.27;0.79;0.98;0.10;1.24;0.31;0.14;0.17
0.80;0.46;0.43;102.38;0.94;47.62;0.77;0.48;0.51;90.92;0.94;48.15;0.75;0.94;0.10;1.25;0.31;0.13;0.18
0.79;0.46;0.44;103.48;0.96;47.87;0.75;0.49;0.52;90.00;0.96;48.39;0.77;0.96;0.09;1.25;0.30;0.13;0.17
0.78;0.45;0.44;104.72;0.98;48.92;0.75;0.47;0.53;92.78;0.97;49.06;0.80;0.97;0.10;1.23;0.32;0.14;0.18
0.74;0.44;0.48;106.60;1.06;50.87;0.73;0.46;0.57;96.46;1.04;50.29;0.89;1.05;0.10;1.19;0.29;0.13;0.16
0.78;0.45;0.50;101.78;1.08;48.80;0.76;0.46;0.56;95.12;1.05;49.18;0.87;1.07;0.10;1.23;0.31;0.15;0.16
0.77;0.43;0.48;107.16;1.03;50.28;0.74;0.47;0.55;92.79;1.03;49.72;0.86;1.03;0.11;1.20;0.29;0.12;0.18
0.79;0.46;0.48;102.27;1.07;47.87;0.77;0.48;0.57;90.00;1.05;47.87;0.84;1.05;0.10;1.25;0.31;0.13;0.18
0.77;0.42;0.45;110.43;1.03;50.42;0.73;0.47;0.55;92.47;0.99;50.28;0.85;1.01;0.13;1.19;0.31;0.13;0.18
0.77;0.42;0.47;109.76;1.02;50.42;0.70;0.50;0.54;93.12;1.01;50.14;0.85;1.01;0.11;1.19;0.28;0.12;0.16
0.76;0.46;0.47;104.71;1.05;49.45;0.75;0.50;0.58;93.84;1.05;48.13;0.86;1.05;0.10;1.22;0.27;0.12;0.16
;;;;;;;;;;;;;;;;;;
