Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean
0.76;0.43;0.57;105.92;1.11;50.47;0.72;0.47;0.52;96.52;1.10;50.48;0.93;1.10;0.14;1.19;0.30;0.15;0.15
0.70;0.44;0.61;104.49;1.17;52.82;0.68;0.46;0.55;106.89;1.16;52.76;1.02;1.17;0.08;1.14;0.23;0.13;0.10
0.76;0.44;0.60;101.53;1.17;50.32;0.71;0.44;0.55;102.86;1.15;52.17;0.99;1.16;0.15;1.17;0.31;0.16;0.15
0.73;0.43;0.62;99.71;1.15;51.47;0.78;0.41;0.56;104.78;1.20;50.59;1.00;1.18;0.13;1.18;0.33;0.16;0.17
0.75;0.39;0.57;107.89;1.10;52.50;0.76;0.42;0.54;98.95;1.13;50.91;0.96;1.12;0.17;1.16;0.33;0.15;0.18
0.76;0.44;0.59;100.56;1.14;50.14;0.78;0.42;0.55;100.00;1.16;50.00;0.96;1.15;0.13;1.20;0.33;0.16;0.17
0.72;0.43;0.61;100.59;1.17;52.05;0.75;0.39;0.56;107.88;1.20;52.33;1.03;1.18;0.19;1.15;0.32;0.17;0.16
0.74;0.44;0.61;102.39;1.19;50.93;0.77;0.41;0.57;101.33;1.16;51.14;1.00;1.18;0.14;1.18;0.30;0.15;0.15
0.72;0.39;0.61;111.22;1.18;53.96;0.71;0.43;0.57;104.67;1.21;52.66;1.06;1.20;0.17;1.13;0.31;0.15;0.16
0.70;0.43;0.60;104.67;1.17;52.94;0.72;0.43;0.57;107.16;1.15;52.33;1.02;1.16;0.15;1.14;0.28;0.14;0.14
0.74;0.44;0.59;103.90;1.17;51.00;0.72;0.46;0.58;99.60;1.18;51.04;1.00;1.17;0.12;1.18;0.27;0.13;0.14
0.73;0.43;0.58;104.67;1.14;51.73;0.72;0.44;0.56;102.29;1.14;51.72;0.99;1.14;0.14;1.16;0.28;0.14;0.14
0.73;0.43;0.59;107.15;1.18;51.43;0.70;0.46;0.58;99.45;1.18;51.72;1.02;1.18;0.14;1.16;0.27;0.13;0.14
0.77;0.40;0.57;111.18;1.16;51.43;0.69;0.46;0.59;95.76;1.16;52.33;1.00;1.16;0.15;1.16;0.30;0.14;0.16
0.75;0.43;0.62;102.76;1.20;50.85;0.74;0.42;0.58;102.89;1.20;51.58;1.02;1.20;0.12;1.17;0.33;0.17;0.16
0.72;0.43;0.60;102.94;1.15;52.02;0.72;0.45;0.57;102.27;1.17;51.29;1.00;1.16;0.16;1.16;0.27;0.13;0.14
0.68;0.43;0.61;107.17;1.21;54.05;0.69;0.43;0.60;108.45;1.22;53.57;1.09;1.21;0.13;1.12;0.25;0.13;0.12
0.68;0.42;0.60;108.58;1.17;54.71;0.67;0.39;0.57;110.53;1.13;56.60;1.07;1.16;0.17;1.08;0.26;0.13;0.13
0.68;0.44;0.61;106.51;1.19;53.41;0.70;0.43;0.58;107.14;1.20;53.25;1.06;1.20;0.15;1.12;0.24;0.12;0.12
0.70;0.43;0.61;105.30;1.17;53.37;0.69;0.41;0.56;108.44;1.16;54.88;1.05;1.17;0.17;1.12;0.26;0.14;0.12
