Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean
0.62;0.46;0.60;109.13;1.27;55.39;0.65;0.40;0.66;112.66;1.25;56.96;1.17;1.26;0.10;1.07;0.45;0.33;0.12
0.64;0.47;0.63;101.85;1.27;54.22;0.68;0.42;0.63;115.91;1.25;54.42;1.14;1.26;0.09;1.11;0.21;0.12;0.09
0.64;0.46;0.64;101.12;1.30;54.55;0.68;0.43;0.65;117.65;1.29;54.22;1.17;1.29;0.08;1.10;0.22;0.13;0.09
0.64;0.45;0.64;104.05;1.28;54.88;0.67;0.43;0.64;116.13;1.28;54.88;1.17;1.28;0.09;1.09;0.21;0.12;0.09
0.65;0.44;0.63;105.30;1.30;55.21;0.68;0.42;0.67;114.77;1.30;54.91;1.19;1.30;0.10;1.09;0.24;0.14;0.11
0.66;0.45;0.62;103.53;1.27;54.44;0.67;0.42;0.66;114.77;1.28;54.88;1.16;1.28;0.09;1.10;0.24;0.13;0.10
0.64;0.43;0.64;107.79;1.32;56.25;0.66;0.42;0.67;115.40;1.31;55.73;1.22;1.31;0.09;1.07;0.23;0.12;0.10
0.67;0.44;0.63;100.56;1.27;53.90;0.70;0.42;0.64;116.17;1.28;53.57;1.14;1.27;0.09;1.12;0.26;0.15;0.10
0.65;0.43;0.62;107.14;1.27;55.90;0.67;0.42;0.66;114.69;1.28;54.88;1.18;1.28;0.11;1.08;0.23;0.12;0.10
0.64;0.43;0.65;105.88;1.32;55.90;0.67;0.41;0.66;117.65;1.31;55.73;1.22;1.31;0.09;1.08;0.24;0.13;0.10
0.65;0.43;0.65;105.27;1.31;55.56;0.67;0.41;0.66;116.13;1.31;55.21;1.21;1.31;0.10;1.08;0.24;0.14;0.10
0.64;0.45;0.65;102.94;1.31;54.89;0.65;0.43;0.66;117.65;1.30;55.90;1.20;1.30;0.09;1.09;0.21;0.13;0.08
0.62;0.45;0.65;103.46;1.30;55.90;0.66;0.42;0.65;118.44;1.30;55.21;1.20;1.30;0.09;1.08;0.21;0.13;0.08
0.67;0.45;0.64;104.71;1.33;53.57;0.68;0.42;0.66;115.46;1.30;54.88;1.19;1.31;0.09;1.10;0.23;0.13;0.10
0.63;0.44;0.64;105.30;1.31;56.09;0.67;0.41;0.66;118.98;1.30;55.56;1.22;1.31;0.09;1.08;0.23;0.13;0.10
0.65;0.44;0.65;97.32;1.28;54.75;0.72;0.38;0.62;124.02;1.26;54.88;1.16;1.27;0.10;1.10;0.28;0.17;0.11
0.64;0.43;0.65;104.05;1.32;55.90;0.67;0.42;0.67;118.50;1.32;55.40;1.22;1.32;0.10;1.08;0.23;0.14;0.09
0.65;0.43;0.62;105.90;1.28;55.56;0.67;0.42;0.66;116.90;1.30;54.88;1.19;1.29;0.11;1.08;0.24;0.14;0.10
0.66;0.44;0.65;102.86;1.31;54.71;0.69;0.41;0.66;116.88;1.32;54.88;1.20;1.32;0.09;1.10;0.26;0.15;0.11
0.67;0.41;0.63;104.71;1.25;55.90;0.69;0.40;0.67;114.69;1.30;54.71;1.18;1.28;0.09;1.09;0.27;0.15;0.12
