Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean
0.62;0.40;0.52;114.46;1.05;58.63;0.63;0.40;0.55;118.44;1.07;58.09;1.03;1.06;0.11;1.03;0.22;0.12;0.10
0.64;0.38;0.47;119.56;1.00;58.59;0.63;0.39;0.53;114.92;1.01;59.03;0.98;1.01;0.11;1.02;0.25;0.12;0.13
0.64;0.40;0.47;112.94;0.95;57.75;0.66;0.39;0.49;120.02;0.98;57.21;0.92;0.96;0.11;1.05;0.26;0.15;0.12
0.64;0.41;0.52;107.14;1.01;57.32;0.65;0.39;0.49;123.29;0.99;57.32;0.96;1.00;0.08;1.05;0.24;0.15;0.09
0.67;0.39;0.45;108.94;0.90;56.30;0.68;0.37;0.45;116.85;0.87;56.98;0.83;0.89;0.09;1.06;0.27;0.16;0.12
0.67;0.41;0.43;112.15;0.93;55.56;0.63;0.45;0.48;110.68;0.91;55.69;0.85;0.92;0.09;1.08;0.24;0.15;0.09
0.68;0.41;0.45;106.73;0.93;54.88;0.69;0.41;0.47;112.50;0.92;54.55;0.85;0.93;0.09;1.10;0.28;0.16;0.12
0.65;0.43;0.49;105.07;0.94;55.79;0.69;0.38;0.45;119.09;0.94;56.10;0.88;0.94;0.09;1.07;0.26;0.14;0.12
0.68;0.42;0.45;113.83;1.00;54.39;0.64;0.43;0.52;108.50;0.97;56.09;0.90;0.98;0.09;1.09;0.24;0.12;0.12
0.71;0.42;0.44;105.95;0.91;53.10;0.69;0.42;0.45;110.27;0.89;54.00;0.80;0.90;0.07;1.12;0.29;0.17;0.12
0.63;0.38;0.50;115.01;1.00;59.42;0.63;0.39;0.51;122.45;1.02;58.64;0.99;1.01;0.08;1.02;0.23;0.13;0.10
0.62;0.41;0.54;114.65;1.09;58.10;0.62;0.39;0.54;119.14;1.06;59.21;1.05;1.08;0.09;1.02;0.22;0.12;0.10
0.63;0.41;0.51;112.33;1.03;57.95;0.62;0.40;0.52;120.10;1.02;58.71;0.99;1.02;0.09;1.03;0.22;0.13;0.10
0.65;0.41;0.50;110.73;0.97;56.27;0.64;0.41;0.49;116.17;1.00;57.16;0.93;0.99;0.08;1.06;0.24;0.13;0.10
0.66;0.41;0.50;111.76;1.03;55.94;0.62;0.43;0.52;114.69;1.03;57.35;0.97;1.03;0.10;1.06;0.23;0.12;0.10
